,,Feb/March 2000,,,,Pin Frame Data Cover,,,,,,,,,,,,,,,,,,,,,,,,,
,,N - WC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Themeda,P. mezianum,P. stramineum,Lintonia,Brachiaria,Aerva,Aspilia,Commelina,Conyza,Discoriste,Helichrysum,Hibiscus,Indigofera sch.,Indigofera brev.,Kyllinger,Misopates,Monechima,Monsonia,Pavonia,Phyllanthus,Polygala,Portulaca,Rhinacanthus,Rhynchosia,Solanum big,Solanum small,Lipia,
9,H,Y,N,1,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,
9,G,Y,N,1,1,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,
9,F,Y,N,,,1,1,1,,,,,,,,,,,,,,,1,,,,,,1,,
9,E,Y,N,1,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,
9,D,Y,N,1,,,1,,1,1,,1,,,,,,,,,,,,,,,,,,,
9,C,Y,N,1,1,,1,1,,,,,1,,,,,,,,,,,,,,,,,,
9,B,Y,N,,1,,1,,,1,,,1,,,,,,,1,,,,,,,,,,,
9,A,Y,N,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,
10,A,Y,N,1,1,,1,,,1,,,,,,,,,,1,,,,,,,,,,,
10,B,Y,N,,,1,1,,1,,,,,1,,,,,,1,,,,,,,,,,,
10,C,Y,N,,,1,1,,1,1,,,,1,,,,,,,,,,,,,,,,,
10,D,Y,N,1,1,,1,,,,,,1,,,,,,,,,,,,,,,,,,
10,E,Y,N,,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,
10,F,Y,N,,1,,1,,,1,,,,,,,,,,,,,,,,,,,1,,
10,G,Y,N,1,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,
10,H,Y,N,1,1,,1,1,,1,,,,,,,,,,,,,,,,,,,,,
10,I,Y,N,1,1,,1,,1,1,,,,1,,,,,,,,,,,,,,,,,
10,J,Y,N,1,1,,1,,,1,,,1,,,,,,,,,,,,,,,,,,
,,% freq.,,67,64,17,97,40,26,40,0,2,10,24,0,5,0,0,0,19,0,0,2,0,0,0,3,0,5,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
