"Station","Location","Disturbance","Mound.5m","Species","Sp_Pin_Hits","Treatment","Block","Date"
2,"E",NA,NA,"Rhinacanthus",NA,"C","N",20000201
2,"E",NA,NA,"Rhynchosia",4,"C","N",20000201
2,"E",NA,NA,"Solanum_big",NA,"C","N",20000201
2,"E",NA,NA,"Solanum_small",NA,"C","N",20000201
2,"E",NA,NA,"Lipia",NA,"C","N",20000201
2,"D",NA,NA,"Themeda",NA,"C","N",20000201
2,"D",NA,NA,"P.mezianum",5,"C","N",20000201
2,"D",NA,NA,"P.stramineum",NA,"C","N",20000201
2,"D",NA,NA,"Lintonia",NA,"C","N",20000201
2,"D",NA,NA,"Brachiaria",1,"C","N",20000201
2,"D",NA,NA,"Aerva",NA,"C","N",20000201
2,"D",NA,NA,"Aspilia",NA,"C","N",20000201
2,"D",NA,NA,"Commelina",NA,"C","N",20000201
2,"D",NA,NA,"Conyza",NA,"C","N",20000201
2,"D",NA,NA,"Discoriste",NA,"C","N",20000201
2,"D",NA,NA,"Helichrysum",NA,"C","N",20000201
2,"D",NA,NA,"Hibiscus",NA,"C","N",20000201
2,"D",NA,NA,"Indigofera_sch",NA,"C","N",20000201
2,"D",NA,NA,"Indigofera_brev",NA,"C","N",20000201
2,"D",NA,NA,"Kyllinger",NA,"C","N",20000201
2,"D",NA,NA,"Misopates",NA,"C","N",20000201
2,"D",NA,NA,"Monechima",NA,"C","N",20000201
2,"D",NA,NA,"Monsonia",NA,"C","N",20000201
2,"D",NA,NA,"Pavonia",NA,"C","N",20000201
2,"D",NA,NA,"Phyllanthus",NA,"C","N",20000201
2,"D",NA,NA,"Polygala",NA,"C","N",20000201
2,"D",NA,NA,"Portulaca",NA,"C","N",20000201
2,"D",NA,NA,"Rhinacanthus",NA,"C","N",20000201
2,"D",NA,NA,"Rhynchosia",NA,"C","N",20000201
