,,Jan/Feb 2001,,,,Pin Frame Data Cover,,,,,,,,,,,,,,,,,,,,,,,,,
,,S-WC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Themeda,P. mezianum,P. stramineum,Lintonia,Brachiaria,Aerva,Aspilia,Commelina,Conyza,Discoriste,Helichrysum,Hibiscus,Indigofera sch.,Indigofera brev.,Kyllinger,Misopates,Monechima,Monsonia,Pavonia,Phyllanthus,Polygala,Portulaca,Rhinacanthus,Rhynchosia,Solanum big,Solanum small,bare,
7,A,Y,N,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,
7,B,Y,N,1,,,1,,,,,,,,,,,,,,,,,,,,,,1,,
7,C,Y,N,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,
7,D,Y,N,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,
7,E,Y,N,,,1,1,1,,,,,,,,,,,,,,,,,,,,,1,,
7,F,Y,N,1,1,,,,,1,,,,,,,,,,,,,,,,,,,,,
7,G,Y,N,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,
7,H,Y,Y,,,1,,,,,,,,,,,,,,1,,,,,,,,1,,,
7,I,Y,Y,,,1,,,1,,,,,,,,,,,1,,,,,,,,,,,
7,J,Y,N,1,,1,,1,,,,,,,,,,,,,,,,,,,,,1,,
8,J,Y,N,,,1,1,1,,1,,,,1,,,,,,,,,,,,,,,,,
8,I,Y,N,,1,,,1,,,,,,1,,,,,,,,,,,,,,,,,
8,H,Y,Y,,,1,,,,,,,,,1,,,,,1,,,,,,,,,,,
8,G,Y,N,1,,,1,,,,,,,,,,,,,,,,,,,,,,1,,
8,F,Y,N,1,1,,,,,,,,,,,,,,,,,,,,,,,,1,,
8,E,Y,N,1,,,1,1,,,,,,,,,,,,,,,,,,,,,1,,
8,D,Y,Y,1,,1,1,,,,,,,,1,,,,,,,,,,,,,,1,,
8,C,Y,Y,1,1,1,,,,,,,,,1,,,,,,,,,,,,,,,,
8,B,Y,N,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
8,A,Y,Y,,,1,1,1,,,,,,1,,,,,,,,,,,,,,,,,
9,A,Y,N,,1,1,,,,,,,,,,,,,,,,,,,,,,,1,,
9,B,Y,N,1,1,,,,,,,,,,,,,,,,,,,,,,,,1,,
9,C,Y,N,,,1,,,,,,,,1,,,,,,,,,,,,,,,1,,
9,D,Y,N,,,1,1,,1,,,,,1,,,,,,,,,,,,,,,,,
9,E,Y,N,,1,1,,1,,,,,,,,,,,,,,,,,,,,,1,,
