,,Jan/Feb 2001,,,,Pin Frame Data Cover,,,,,,,,,,,,,,,,,,,,,,,,,
,,C-WC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Themeda,P. mezianum,P. stramineum,Lintonia,Brachiaria,Aerva,Aspilia,Commelina,Conyza,Discoriste,Helichrysum,Hibiscus,Indigofera sch.,Indigofera brev.,Kyllinger,Misopates,Monechima,Monsonia,Pavonia,Phyllanthus,Polygala,Portulaca,Rhinacanthus,Rhynchosia,Solanum big,Solanum small,bare,
2,C,Y,N,,,1,,,,1,,,,1,,,,,,,,,,,,,,,,,
2,B,Y,N,,,,,1,,,,,,1,,,,,,1,,,,,,,,,,,
2,A,Y,N,1,,,1,,,1,,,,1,,,,,,,,,,,,,,,,,
3,A,Y,N,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,
3,B,Y,N,1,,1,,,,,,,,1,,,,,,,,,,,,,,,,,
3,C,Y,Y,,,1,,,,,,,,1,,,,,,1,,,,,,,,1,,,
3,D,Y,Y,,1,1,,,,,,,,,,,,,,,,,,,,,,1,,,
3,E,Y,N,1,,1,1,1,,,,,,1,1,,,,,,,,,,,,,,,,
3,F,Y,N,,,1,,,1,1,,,,1,,,,,,,,,,,,,,,,,
3,G,Y,N,1,,1,,1,,,,,,1,,,,,,,,,,,,,,,,,
3,H,Y,N,1,1,1,1,,,1,,,,,,,,,,,,,,,,,,,,,
3,I,Y,N,1,,1,,1,1,,,,,,,,,,,,,,,,,,,,1,,
3,J,Y,N,,,1,,,,1,,,,1,,,,,,,,,,,,,,,,,
4,J,Y,N,,1,1,,,,,,,,,,,,,,,,,,,,,,,1,,
4,I,Y,N,,1,,1,1,,,,,,1,,,,,,,,,,,,,,,,,
4,H,Y,N,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,
4,G,Y,N,1,,1,,1,,,,,,1,,,,,,,,,,,,,,,1,,
4,F,Y,N,1,,1,1,1,,1,,,,,,,,,,1,,,,,,,1,,,,
4,E,Y,N,,,1,,1,,,,,,1,,,,,,,,,,,,,,,,,
4,D,Y,N,,,1,,,,,,,,1,,,,,,1,,,,,,,,,,,
4,C,Y,Y,,1,1,,,,,,,,1,,,,,,,,,,,,,,,,,
4,B,Y,N,,1,,1,1,,1,,,,,,,,,,,,,,,,,,,,,
4,A,Y,N,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
5,A,Y,N,,,1,,1,,1,,,,1,,,,,,,,,,,,,,,,,
5,B,Y,N,1,1,,,1,,1,,,,,,,,,,,,,,,,,,,1,,
5,C,Y,N,1,,1,,1,,,,,,1,,,,,,,,,,,,,,,,,
5,D,Y,N,,,1,,,,,,,1,1,,,,,,,,,,,,,,,1,,
5,E,Y,N,,,1,1,,1,,,,,1,1,,,,,,,,,,,,,,1,,
5,F,Y,N,,,1,1,,,,,,,1,,,,,,,,,,,,,,,1,,
5,G,Y,N,1,1,,,,,,,,,1,,1,,,,,,,,,,,,,,,
