"trap.station","type.of.hits","hit_type_plant","Species","Sp_Pin_Hits","Treatment","Block","Date"
"1G","1st","","x_5",NA,"C","S","20090130"
"1G","1st","","x_6",NA,"C","S","20090130"
"1G","1st","","x_7",NA,"C","S","20090130"
"1G","1st","","x_8",NA,"C","S","20090130"
"1I","1st","","bracharia.lacnantha",NA,"C","S","20090130"
"1I","1st","","lintonia.nutans",NA,"C","S","20090130"
"1I","1st","","pennisetum.mezianum",NA,"C","S","20090130"
"1I","1st","","pennisetum.straminium",NA,"C","S","20090130"
"1I","1st","","themeda.triandra",NA,"C","S","20090130"
"1I","1st","","bare",4,"C","S","20090130"
"1I","1st","","x_2",NA,"C","S","20090130"
"1I","1st","","aristida.kenyensis",NA,"C","S","20090130"
"1I","1st","","bothriochloa.insculpta",NA,"C","S","20090130"
"1I","1st","","bracharia.3",NA,"C","S","20090130"
"1I","1st","","bracharia.eruciformis",1,"C","S","20090130"
"1I","1st","","chloris.sp",NA,"C","S","20090130"
"1I","1st","","cynodon.dactylon",NA,"C","S","20090130"
"1I","1st","","cynodon.plectostachyus",NA,"C","S","20090130"
"1I","1st","","cyperus...mariscus.spp",NA,"C","S","20090130"
"1I","1st","","digitaria.2",NA,"C","S","20090130"
"1I","1st","","digitaria.milanjiana",NA,"C","S","20090130"
"1I","1st","","dinebra.retroflexa",NA,"C","S","20090130"
"1I","1st","","eragrostis.tenuifolia",NA,"C","S","20090130"
"1I","1st","","harpachne.schimperi",NA,"C","S","20090130"
"1I","1st","","microchloa.kunthii",NA,"C","S","20090130"
"1I","1st","","panicum.astrosanguinum",NA,"C","S","20090130"
"1I","1st","","setaria.acromelaena..small.",NA,"C","S","20090130"
"1I","1st","","setaria.sphaecealata..big.",NA,"C","S","20090130"
"1I","1st","","sporobolus.pyramidalis",NA,"C","S","20090130"
"1I","1st","","tragus.berteronianus",NA,"C","S","20090130"
"1I","1st","","x_3",NA,"C","S","20090130"
